# regression: better=lower abs=500 rel=0.001 display={:.3e} ratchet=on

src/aggregators/arbitrum/Aggregator_USDE_AAPL.sol:Aggregator_USDE_AAPL
| function name    |   max |   display |
| upgradeToAndCall     |  8456 | 8.456e+03 |
| version              |   329 | 3.290e+02 |

src/aggregators/mainnet/Aggregator_fxUSD_ETH.sol:Aggregator_fxUSD_ETH
| function name    |   max |   display |
|------------------|-------|-----------|
| baseName         |   490 | 4.900e+02 |
| latestAnswer     | 16148 | 1.615e+04 |
| oracleName       |  1121 | 1.121e+03 |
| proxiableUUID    |   346 | 3.460e+02 |
| quoteName        |   512 | 5.120e+02 |
| rateProvider     |   457 | 4.570e+02 |
| upgradeToAndCall |  8456 | 8.456e+03 |
| version          |   329 | 3.290e+02 |

src/aggregators/mainnet/Aggregator_fxUSD_EUR.sol:Aggregator_fxUSD_EUR
| function name    |   max |   display |
|------------------|-------|-----------|
| baseName         |   490 | 4.900e+02 |
| latestAnswer     | 16148 | 1.615e+04 |
| oracleName       |  1121 | 1.121e+03 |
| proxiableUUID    |   346 | 3.460e+02 |
| quoteName        |   512 | 5.120e+02 |
| rateProvider     |   457 | 4.570e+02 |
| upgradeToAndCall |  8456 | 8.456e+03 |
| version          |   329 | 3.290e+02 |

src/aggregators/mainnet/Aggregator_fxUSD_MCAP.sol:Aggregator_fxUSD_MCAP
| function name    |   max |   display |
|------------------|-------|-----------|
| baseName         |   490 | 4.900e+02 |
| latestAnswer     | 16148 | 1.615e+04 |
| oracleName       |  1121 | 1.121e+03 |
| proxiableUUID    |   346 | 3.460e+02 |
| quoteName        |   512 | 5.120e+02 |
| rateProvider     |   457 | 4.570e+02 |
| upgradeToAndCall |  8456 | 8.456e+03 |
| version          |   329 | 3.290e+02 |

src/aggregators/mainnet/Aggregator_fxUSD_SPCX.sol:Aggregator_fxUSD_SPCX
| function name    |   max |   display |
|------------------|-------|-----------|
| baseName         |   490 | 4.900e+02 |
| latestAnswer     | 16148 | 1.615e+04 |
| oracleName       |  1121 | 1.121e+03 |
| proxiableUUID    |   346 | 3.460e+02 |
| quoteName        |   512 | 5.120e+02 |
| rateProvider     |   457 | 4.570e+02 |
| upgradeToAndCall |  8456 | 8.456e+03 |
| version          |   329 | 3.290e+02 |

src/aggregators/mainnet/Aggregator_fxUSD_STRC.sol:Aggregator_fxUSD_STRC
| function name    |   max |   display |
|------------------|-------|-----------|
| baseName         |   490 | 4.900e+02 |
| latestAnswer     | 16148 | 1.615e+04 |
| oracleName       |  1121 | 1.121e+03 |
| proxiableUUID    |   346 | 3.460e+02 |
| quoteName        |   512 | 5.120e+02 |
| rateProvider     |   457 | 4.570e+02 |
| upgradeToAndCall |  8456 | 8.456e+03 |
| version          |   329 | 3.290e+02 |

src/aggregators/mainnet/Aggregator_fxUSD_XAG.sol:Aggregator_fxUSD_XAG
| function name    |   max |   display |
|------------------|-------|-----------|
| baseName         |   490 | 4.900e+02 |
| latestAnswer     | 16148 | 1.615e+04 |
| oracleName       |  1121 | 1.121e+03 |
| proxiableUUID    |   346 | 3.460e+02 |
| quoteName        |   512 | 5.120e+02 |
| rateProvider     |   457 | 4.570e+02 |
| upgradeToAndCall |  8456 | 8.456e+03 |
| version          |   329 | 3.290e+02 |

src/aggregators/mainnet/Aggregator_fxUSD_XAU.sol:Aggregator_fxUSD_XAU
| function name    |   max |   display |
|------------------|-------|-----------|
| baseName         |   490 | 4.900e+02 |
| latestAnswer     | 16148 | 1.615e+04 |
| oracleName       |  1121 | 1.121e+03 |
| proxiableUUID    |   346 | 3.460e+02 |
| quoteName        |   512 | 5.120e+02 |
| rateProvider     |   457 | 4.570e+02 |
| upgradeToAndCall |  8456 | 8.456e+03 |
| version          |   329 | 3.290e+02 |

src/aggregators/mainnet/Aggregator_hsfxUSD_BTC_USD.sol:Aggregator_hsfxUSD_BTC_USD
| function name    |   max |   display |
|------------------|-------|-----------|
| baseName         |   484 | 4.840e+02 |
| latestAnswer     | 15980 | 1.598e+04 |
| oracleName       |  1093 | 1.093e+03 |
| proxiableUUID    |   346 | 3.460e+02 |
| quoteName        |   512 | 5.120e+02 |
| rateProvider     |   435 | 4.350e+02 |
| upgradeToAndCall |  8456 | 8.456e+03 |
| version          |   329 | 3.290e+02 |

src/aggregators/mainnet/Aggregator_hsfxUSD_ETH_USD.sol:Aggregator_hsfxUSD_ETH_USD
| function name    |   max |   display |
|------------------|-------|-----------|
| baseName         |   484 | 4.840e+02 |
| latestAnswer     | 15980 | 1.598e+04 |
| oracleName       |  1093 | 1.093e+03 |
| proxiableUUID    |   346 | 3.460e+02 |
| quoteName        |   512 | 5.120e+02 |
| rateProvider     |   435 | 4.350e+02 |
| upgradeToAndCall |  8456 | 8.456e+03 |
| version          |   329 | 3.290e+02 |

src/aggregators/mainnet/Aggregator_hsfxUSD_EUR_USD.sol:Aggregator_hsfxUSD_EUR_USD
| function name    |   max |   display |
|------------------|-------|-----------|
| baseName         |   484 | 4.840e+02 |
| latestAnswer     | 15980 | 1.598e+04 |
| oracleName       |  1093 | 1.093e+03 |
| proxiableUUID    |   346 | 3.460e+02 |
| quoteName        |   512 | 5.120e+02 |
| rateProvider     |   435 | 4.350e+02 |
| upgradeToAndCall |  8456 | 8.456e+03 |
| version          |   329 | 3.290e+02 |

src/aggregators/mainnet/Aggregator_hsfxUSD_GOLD_USD.sol:Aggregator_hsfxUSD_GOLD_USD
| function name    |   max |   display |
|------------------|-------|-----------|
| baseName         |   484 | 4.840e+02 |
| latestAnswer     | 15980 | 1.598e+04 |
| oracleName       |  1093 | 1.093e+03 |
| proxiableUUID    |   346 | 3.460e+02 |
| quoteName        |   512 | 5.120e+02 |
| rateProvider     |   435 | 4.350e+02 |
| upgradeToAndCall |  8456 | 8.456e+03 |
| version          |   329 | 3.290e+02 |

src/aggregators/mainnet/Aggregator_hsfxUSD_SILVER_USD.sol:Aggregator_hsfxUSD_SILVER_USD
| function name    |   max |   display |
|------------------|-------|-----------|
| baseName         |   484 | 4.840e+02 |
| latestAnswer     | 15980 | 1.598e+04 |
| oracleName       |  1093 | 1.093e+03 |
| proxiableUUID    |   346 | 3.460e+02 |
| quoteName        |   512 | 5.120e+02 |
| rateProvider     |   435 | 4.350e+02 |
| upgradeToAndCall |  8456 | 8.456e+03 |
| version          |   329 | 3.290e+02 |

src/aggregators/mainnet/Aggregator_hsstETH_BTC_USD.sol:Aggregator_hsstETH_BTC_USD
| function name    |   max |   display |
|------------------|-------|-----------|
| baseName         |   484 | 4.840e+02 |
| latestAnswer     | 15980 | 1.598e+04 |
| oracleName       |  1093 | 1.093e+03 |
| proxiableUUID    |   346 | 3.460e+02 |
| quoteName        |   512 | 5.120e+02 |
| rateProvider     |   435 | 4.350e+02 |
| upgradeToAndCall |  8456 | 8.456e+03 |
| version          |   329 | 3.290e+02 |

src/aggregators/mainnet/Aggregator_hsstETH_EUR_USD.sol:Aggregator_hsstETH_EUR_USD
| function name    |   max |   display |
|------------------|-------|-----------|
| baseName         |   484 | 4.840e+02 |
| latestAnswer     | 15980 | 1.598e+04 |
| oracleName       |  1093 | 1.093e+03 |
| proxiableUUID    |   346 | 3.460e+02 |
| quoteName        |   512 | 5.120e+02 |
| rateProvider     |   435 | 4.350e+02 |
| upgradeToAndCall |  8456 | 8.456e+03 |
| version          |   329 | 3.290e+02 |

src/aggregators/mainnet/Aggregator_hsstETH_GOLD_USD.sol:Aggregator_hsstETH_GOLD_USD
| function name    |   max |   display |
|------------------|-------|-----------|
| baseName         |   484 | 4.840e+02 |
| latestAnswer     | 15980 | 1.598e+04 |
| oracleName       |  1093 | 1.093e+03 |
| proxiableUUID    |   346 | 3.460e+02 |
| quoteName        |   512 | 5.120e+02 |
| rateProvider     |   435 | 4.350e+02 |
| upgradeToAndCall |  8456 | 8.456e+03 |
| version          |   329 | 3.290e+02 |

src/aggregators/mainnet/Aggregator_hsstETH_SILVER_USD.sol:Aggregator_hsstETH_SILVER_USD
| function name    |   max |   display |
|------------------|-------|-----------|
| baseName         |   484 | 4.840e+02 |
| latestAnswer     | 15980 | 1.598e+04 |
| oracleName       |  1093 | 1.093e+03 |
| proxiableUUID    |   346 | 3.460e+02 |
| quoteName        |   512 | 5.120e+02 |
| rateProvider     |   435 | 4.350e+02 |
| upgradeToAndCall |  8456 | 8.456e+03 |
| version          |   329 | 3.290e+02 |

src/aggregators/mainnet/Aggregator_stETH_BTC.sol:Aggregator_stETH_BTC
| function name         |   max |   display |
|-----------------------|-------|-----------|
